"lake_id","survey_date","Bedrock_littoral_amount_legacy","Boulder_littoral_amount_legacy","Cobble_littoral_amount_legacy","Gravel_littoral_amount_legacy","Sand_littoral_amount_legacy","Silt_littoral_amount_legacy","Woody Debris_littoral_amount_legacy","Aquatic Veg_littoral_amount_legacy","Boulder_shoreline_amount_legacy","Cobble_shoreline_amount_legacy","Grass/Sedge/Forb_shoreline_amount_legacy","Silt/Sand/Gravel_shoreline_amount_legacy","Woody Plants/ Debris_shoreline_amount_legacy","lake_area_nbr_legacy","lake_perimeter_nbr_legacy","lake_type_code_legacy","lake_drainage_name_legacy","lake_elevation_nbr_legacy","lake_quad_name_legacy","lake_county_name_legacy","lake_juris_name_legacy","lake_wilderness_name_legacy","site_code_nbr_legacy","air_temp_legacy","air_temp_time_legacy","water_temp_legacy","water_temp_time_legacy","wind_legacy","sun_legacy","lake_max_depth_legacy","actual_fish_presence_legacy","FID_legacy","Shape_legacy","AREA_legacy","Jurisdicti_legacy","PERIM_legacy","X_CENTER_legacy","Y_CENTER_legacy","HA_legacy","Shape_Leng_legacy","Shape_Area_legacy","Lat_legacy","Lon_legacy","N0_legacy","H_legacy","N1_legacy","N2_legacy","J_legacy","E10_legacy","E20_legacy","Com.Size_legacy","betas.LCBD_legacy","Sum.Biomass_legacy","Biomass_legacy","Bedrock_littoral_amount_new","Boulder_littoral_amount_new","Cobble_littoral_amount_new","Gravel_littoral_amount_new","Sand_littoral_amount_new","Silt_littoral_amount_new","Woody Debris_littoral_amount_new","Aquatic Veg_littoral_amount_new","Boulder_shoreline_amount_new","Cobble_shoreline_amount_new","Grass/Sedge/Forb_shoreline_amount_new","Silt/Sand/Gravel_shoreline_amount_new","Woody Plants/ Debris_shoreline_amount_new","lake_area_nbr_new","lake_perimeter_nbr_new","lake_type_code_new","lake_drainage_name_new","lake_elevation_nbr_new","lake_quad_name_new","lake_county_name_new","lake_juris_name_new","lake_wilderness_name_new","site_code_nbr_new","air_temp_new","air_temp_time_new","water_temp_new","water_temp_time_new","wind_new","sun_new","lake_max_depth_new","actual_fish_presence_new","FID_new","Shape_new","AREA_new","Jurisdicti_new","PERIM_new","X_CENTER_new","Y_CENTER_new","HA_new","Shape_Leng_new","Shape_Area_new","Lat_new","Lon_new","N0_new","H_new","N1_new","N2_new","J_new","E10_new","E20_new","Com.Size_new","betas.LCBD_new","Sum.Biomass_new","Biomass_new"
10014,"7/11/1997",NA,38,NA,NA,3,8,NA,NA,NA,NA,NA,NA,NA,6124,343,"1","SN_JQN_SF_EVOLUTION_CK",3444,"MT_HENRY","FRESNO","KINGS_CANYON","KINGS_CANYON","1",15,NA,8,NA,NA,NA,6.5,"No",5015,"Polygon",6123.87482,"SEKI",342.649593,342119.7476,4121894.132,0.61238,342.649593,6123.798232,37.23020584,-118.7797151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,3,8,NA,NA,NA,NA,NA,NA,NA,6124,343,"1","SN_JQN_SF_EVOLUTION_CK",3444,"MT_HENRY","FRESNO","KINGS_CANYON","KINGS_CANYON","1",15,NA,8,NA,NA,NA,6.5,"No",5015,"Polygon",6123.87482,"SEKI",342.649593,342119.7476,4121894.132,0.61238,342.649593,6123.798232,37.23020584,-118.7797151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10015,"7/11/1997",7,34,5,4,1,3,NA,NA,NA,NA,NA,NA,NA,91324,1879,"1","SN_JQN_SF_EVOLUTION_CK",3425,"MT_HENRY","FRESNO","KINGS_CANYON","KINGS_CANYON","1",12,NA,7,NA,NA,NA,21,"No",5016,"Polygon",91323.78492,"SEKI",1878.568164,342394.0607,4121677.895,9.13227,1878.568164,91322.69302,37.22830402,-118.7765785,0,0,1,Inf,0,Inf,Inf,0,2.32542486365523e-05,6570.09805947,8.79043622985303,7,34,5,4,1,3,NA,NA,NA,NA,NA,NA,NA,91324,1879,"1","SN_JQN_SF_EVOLUTION_CK",3425,"MT_HENRY","FRESNO","KINGS_CANYON","KINGS_CANYON","1",12,NA,7,NA,NA,NA,21,"No",5016,"Polygon",91323.78492,"SEKI",1878.568164,342394.0607,4121677.895,9.13227,1878.568164,91322.69302,37.22830402,-118.7765785,0,0,1,Inf,0,Inf,Inf,0,2.32542486365523e-05,6570.09805947,8.79043622985303
10017,"7/31/1997",NA,3,21,NA,2,24,NA,30,NA,NA,NA,NA,NA,5737,310,"1","SN_JQN_SF_EVOLUTION_CK",3225,"MT_HENRY","FRESNO","KINGS_CANYON","KINGS_CANYON","1",14,"14:00:00-07",20,"14:00:00-07",NA,NA,5.6,"No",5098,"Polygon",5736.630486,"SEKI",309.584142,343659.0395,4116473.381,0.573659,309.584142,5736.591611,37.18162517,-118.7612352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,21,NA,2,24,NA,30,NA,NA,NA,NA,NA,5737,310,"1","SN_JQN_SF_EVOLUTION_CK",3225,"MT_HENRY","FRESNO","KINGS_CANYON","KINGS_CANYON","1",14,"14:00:00-07",20,"14:00:00-07",NA,NA,5.6,"No",5098,"Polygon",5736.630486,"SEKI",309.584142,343659.0395,4116473.381,0.573659,309.584142,5736.591611,37.18162517,-118.7612352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10019,"8/16/1997",1,25,10,9,NA,11,NA,NA,NA,NA,NA,NA,NA,64242,1355,"1","SN_JQN_SF_EVOLUTION_CK",3217,"MT_HENRY","FRESNO","KINGS_CANYON","KINGS_CANYON","1",17,NA,14,NA,NA,NA,9,"Yes",5114,"Polygon",64241.79431,"SEKI",1354.98273,343444.0156,4115863.098,6.42414,1354.98273,64241.3915,37.17609057,-118.7635286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,25,10,9,NA,11,NA,NA,NA,NA,NA,NA,NA,64242,1355,"1","SN_JQN_SF_EVOLUTION_CK",3217,"MT_HENRY","FRESNO","KINGS_CANYON","KINGS_CANYON","1",17,NA,14,NA,NA,NA,9,"Yes",5114,"Polygon",64241.79431,"SEKI",1354.98273,343444.0156,4115863.098,6.42414,1354.98273,64241.3915,37.17609057,-118.7635286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10020,"8/15/1997",13,38,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,126635,2238,"1","SN_JQN_SF_EVOLUTION_CK",3328,"MT_HENRY","FRESNO","KINGS_CANYON","KINGS_CANYON","1",17,NA,14,NA,NA,NA,12.5,"No",5146,"Polygon",126635.3631,"SEKI",2237.630423,344237.5435,4114978.161,12.6635,2237.630423,126634.6502,37.16825003,-118.7544093,0,0,1,Inf,0,Inf,Inf,0,2.32542486365523e-05,8242.76222597,9.01721209952381,13,38,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,126635,2238,"1","SN_JQN_SF_EVOLUTION_CK",3328,"MT_HENRY","FRESNO","KINGS_CANYON","KINGS_CANYON","1",17,NA,14,NA,NA,NA,12.5,"No",5146,"Polygon",126635.3631,"SEKI",2237.630423,344237.5435,4114978.161,12.6635,2237.630423,126634.6502,37.16825003,-118.7544093,0,0,1,Inf,0,Inf,Inf,0,2.32542486365523e-05,8242.76222597,9.01721209952381
10022,"8/15/1997",2,37,3,1,NA,2,NA,NA,NA,NA,NA,NA,NA,28869,637,"1","SN_JQN_SF_EVOLUTION_CK",3456,"MT_HENRY","FRESNO","KINGS_CANYON","KINGS_CANYON","1",12,NA,9,NA,NA,NA,12,"No",5175,"Polygon",28869.10803,"SEKI",636.569015,343781.5078,4114414.35,2.8869,636.569015,28868.97426,37.163094,-118.7594258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,37,3,1,NA,2,NA,NA,NA,NA,NA,NA,NA,28869,637,"1","SN_JQN_SF_EVOLUTION_CK",3456,"MT_HENRY","FRESNO","KINGS_CANYON","KINGS_CANYON","1",12,NA,9,NA,NA,NA,12,"No",5175,"Polygon",28869.10803,"SEKI",636.569015,343781.5078,4114414.35,2.8869,636.569015,28868.97426,37.163094,-118.7594258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10023,"7/31/1997",NA,4,22,14,2,8,NA,NA,NA,NA,NA,NA,NA,10819,481,"1","SN_JQN_SF",3359,"MT_HENRY","FRESNO","KINGS_CANYON","KINGS_CANYON","1",9,"14:40:00-07",13,"14:40:00-07",NA,NA,4.4,"No",5191,"Polygon",10819.26541,"SEKI",481.488823,342771.7105,4113637.81,1.08192,481.488823,10819.22874,37.1559281,-118.7706305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,22,14,2,8,NA,NA,NA,NA,NA,NA,NA,10819,481,"1","SN_JQN_SF",3359,"MT_HENRY","FRESNO","KINGS_CANYON","KINGS_CANYON","1",9,"14:40:00-07",13,"14:40:00-07",NA,NA,4.4,"No",5191,"Polygon",10819.26541,"SEKI",481.488823,342771.7105,4113637.81,1.08192,481.488823,10819.22874,37.1559281,-118.7706305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10024,"7/28/1997",5,11,21,11,2,NA,NA,NA,NA,NA,NA,NA,NA,63870,1260,"1","SN_JQN_SF",3455,"MT_HENRY","FRESNO","KINGS_CANYON","KINGS_CANYON","1",7,NA,8,NA,NA,NA,30,"No",5236,"Polygon",63869.81987,"SEKI",1259.7367,344048.2777,4112394.586,6.38697,1259.7367,63869.65288,37.14494059,-118.7560015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11,21,11,2,NA,NA,NA,NA,NA,NA,NA,NA,63870,1260,"1","SN_JQN_SF",3455,"MT_HENRY","FRESNO","KINGS_CANYON","KINGS_CANYON","1",7,NA,8,NA,NA,NA,30,"No",5236,"Polygon",63869.81987,"SEKI",1259.7367,344048.2777,4112394.586,6.38697,1259.7367,63869.65288,37.14494059,-118.7560015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10030,"7/13/1997",NA,51,7,10,6,2,NA,NA,NA,NA,NA,NA,NA,214046,2347,"1","SN_JQN_SF_EVOLUTION_CK",3381,"MT_DARWIN","FRESNO","KINGS_CANYON","KINGS_CANYON","1",11,NA,11,NA,NA,NA,8,"Yes",5026,"Polygon",214046.454,"SEKI",2346.9779,345864.3313,4119207.827,21.4046,2346.9779,214045.5669,37.20662912,-118.7369667,0,0,1,Inf,0,Inf,Inf,0,2.32542486365523e-05,19256.60897643,9.86566153311959,NA,51,7,10,6,2,NA,NA,NA,NA,NA,NA,NA,214046,2347,"1","SN_JQN_SF_EVOLUTION_CK",3381,"MT_DARWIN","FRESNO","KINGS_CANYON","KINGS_CANYON","1",11,NA,11,NA,NA,NA,8,"Yes",5026,"Polygon",214046.454,"SEKI",2346.9779,345864.3313,4119207.827,21.4046,2346.9779,214045.5669,37.20662912,-118.7369667,0,0,1,Inf,0,Inf,Inf,0,2.32542486365523e-05,19256.60897643,9.86566153311959
10036,"7/9/1997",NA,37,5,6,1,4,NA,1,NA,NA,NA,NA,NA,14936,483,"1","SN_JQN_SF_EVOLUTION_CK",3426,"MT_DARWIN","FRESNO","KINGS_CANYON","KINGS_CANYON","1",15,NA,12,NA,NA,NA,6.5,"No",5055,"Polygon",14935.63689,"SEKI",483.264913,347608.8728,4118016.846,1.49356,483.264913,14935.56604,37.1961849,-118.7170723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,5,6,1,4,NA,1,NA,NA,NA,NA,NA,14936,483,"1","SN_JQN_SF_EVOLUTION_CK",3426,"MT_DARWIN","FRESNO","KINGS_CANYON","KINGS_CANYON","1",15,NA,12,NA,NA,NA,6.5,"No",5055,"Polygon",14935.63689,"SEKI",483.264913,347608.8728,4118016.846,1.49356,483.264913,14935.56604,37.1961849,-118.7170723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
